"gene","locus_tag","product","combined"
"rpsG","NWMN_0508","30S ribosomal protein S7","rpsG: 30S ribosomal protein S7"
"fus","NWMN_0509","translation elongation factor G (EF-G)","fus: translation elongation factor G (EF-G)"
"tufA","NWMN_0510","translation elongation factor Tu (EF-Tu)","tufA: translation elongation factor Tu (EF-Tu)"
"0511","NWMN_0511","conserved hypothetical protein","0511: conserved hypothetical protein"
"p:kbl","NWMN_0512","conserved hypothetical protein","p:kbl: conserved hypothetical protein"
"p:hchA","NWMN_0513","conserved hypothetical protein","p:hchA: conserved hypothetical protein"
"araB","NWMN_0514","L-ribulokinase","araB: L-ribulokinase"
"capD.2","NWMN_0515","polysaccharide biosynthesis protein CapD","capD.2: polysaccharide biosynthesis protein CapD"
"ilvE","NWMN_0516","branched-chain-amino-acid aminotransferase","ilvE: branched-chain-amino-acid aminotransferase"
"0517","NWMN_0517","haloacid dehalogenase-like hydrolase","0517: haloacid dehalogenase-like hydrolase"
"p:dck","NWMN_0518","conserved hypothetical protein","p:dck: conserved hypothetical protein"
"p:dgk","NWMN_0519","deoxynucleoside kinase","p:dgk: deoxynucleoside kinase"
"p:tadA","NWMN_0520","conserved hypothetical protein","p:tadA: conserved hypothetical protein"
"0521","NWMN_0521","hydrolase%2C haloacid dehalogenase-like protein","0521: hydrolase%2C haloacid dehalogenase-like protein"
"p:azo1","NWMN_0522","conserved hypothetical protein","p:azo1: conserved hypothetical protein"
"sdrC","NWMN_0523","Ser-Asp rich fibrinogen/bone sialoprotein-binding protein SdrC","sdrC: Ser-Asp rich fibrinogen/bone sialoprotein-binding protein SdrC"
"sdrD","NWMN_0524","Ser-Asp rich fibrinogen/bone sialoprotein-binding protein sdrD","sdrD: Ser-Asp rich fibrinogen/bone sialoprotein-binding protein sdrD"
"sdrE","NWMN_0525","Ser-Asp rich fibrinogen/bone sialoprotein-binding protein SdrE","sdrE: Ser-Asp rich fibrinogen/bone sialoprotein-binding protein SdrE"
"0526","NWMN_0526","conserved hypothetical protein","0526: conserved hypothetical protein"
"0527","NWMN_0527","glycosyl transferase%2C group 1 family protein","0527: glycosyl transferase%2C group 1 family protein"
"0528","NWMN_0528","conserved hypothetical protein","0528: conserved hypothetical protein"
"p:folE2","NWMN_0529","conserved hypothetical protein","p:folE2: conserved hypothetical protein"
"p:bshB2","NWMN_0530","conserved hypothetical protein","p:bshB2: conserved hypothetical protein"
"0531","NWMN_0531","conserved hypothetical protein","0531: conserved hypothetical protein"
"p:nagB","NWMN_0532","glucosamine-6-phosphate isomerase","p:nagB: glucosamine-6-phosphate isomerase"
"p:hxlA","NWMN_0533","conserved hypothetical protein","p:hxlA: conserved hypothetical protein"
"p:hxlB","NWMN_0534","conserved hypothetical protein","p:hxlB: conserved hypothetical protein"
"0535","NWMN_0535","conserved hypothetical protein","0535: conserved hypothetical protein"
"p:proP","NWMN_0536","conserved hypothetical protein","p:proP: conserved hypothetical protein"
"0537","NWMN_0537","conserved hypothetical protein","0537: conserved hypothetical protein"
"vraA","NWMN_0538","long chain fatty acid CoA ligase vraA","vraA: long chain fatty acid CoA ligase vraA"
"vraB","NWMN_0539","acetyl-CoA C-acetyltransferase VraB","vraB: acetyl-CoA C-acetyltransferase VraB"
"vraC","NWMN_0540","conserved hypothetical protein","vraC: conserved hypothetical protein"
"0541","NWMN_0541","conserved hypothetical protein","0541: conserved hypothetical protein"
"p:vraX","NWMN_0542","conserved hypothetical protein","p:vraX: conserved hypothetical protein"
"thiD.1","NWMN_0543","phosphomethylpyrimidine kinase","thiD.1: phosphomethylpyrimidine kinase"
"ung","NWMN_0544","uracil-DNA glycosylase","ung: uracil-DNA glycosylase"
"0545","NWMN_0545","conserved hypothetical protein","0545: conserved hypothetical protein"
"0546","NWMN_0546","conserved hypothetical protein","0546: conserved hypothetical protein"
"0547","NWMN_0547","conserved hypothetical protein","0547: conserved hypothetical protein"
"0548","NWMN_0548","conserved hypothetical protein","0548: conserved hypothetical protein"
"0549","NWMN_0549","conserved hypothetical protein","0549: conserved hypothetical protein"
"p:hemQ","NWMN_0550","conserved hypothetical protein","p:hemQ: conserved hypothetical protein"
"pta","NWMN_0551","phosphate acetyltransferase","pta: phosphate acetyltransferase"
"p:lipL","NWMN_0552","lipoate-protein ligase A protein","p:lipL: lipoate-protein ligase A protein"
"mvaK1","NWMN_0553","mevalonate kinase","mvaK1: mevalonate kinase"
"mvaD","NWMN_0554","mevalonate diphosphate decarboxylase","mvaD: mevalonate diphosphate decarboxylase"
"mvaK2","NWMN_0555","phosphomevalonate kinase","mvaK2: phosphomevalonate kinase"
"0556","NWMN_0556","conserved hypothetical protein","0556: conserved hypothetical protein"
"p:merA","NWMN_0557","pyridine nucleotide-disulfide oxidoreductase","p:merA: pyridine nucleotide-disulfide oxidoreductase"
"p:hypR","NWMN_0558","conserved hypothetical protein","p:hypR: conserved hypothetical protein"
"p:tspA","NWMN_0559","conserved hypothetical protein","p:tspA: conserved hypothetical protein"
"p:tsaI1","NWMN_0560","conserved hypothetical protein","p:tsaI1: conserved hypothetical protein"
"0561","NWMN_0561","conserved hypothetical protein","0561: conserved hypothetical protein"
"0562","NWMN_0562","conserved hypothetical protein","0562: conserved hypothetical protein"
"0563","NWMN_0563","conserved hypothetical protein","0563: conserved hypothetical protein"
"0564","NWMN_0564","conserved hypothetical protein","0564: conserved hypothetical protein"
"0565","NWMN_0565","conserved hypothetical protein","0565: conserved hypothetical protein"
"0566","NWMN_0566","conserved hypothetical protein","0566: conserved hypothetical protein"
"0567","NWMN_0567","conserved hypothetical protein","0567: conserved hypothetical protein"
"0568","NWMN_0568","conserved hypothetical protein","0568: conserved hypothetical protein"
"0569","NWMN_0569","conserved hypothetical protein","0569: conserved hypothetical protein"
"0570","NWMN_0570","conserved hypothetical protein","0570: conserved hypothetical protein"
"0571","NWMN_0571","conserved hypothetical protein","0571: conserved hypothetical protein"
"p:iolS","NWMN_0572","aldo/keto reductase family protein","p:iolS: aldo/keto reductase family protein"
"0573","NWMN_0573","conserved hypothetical protein","0573: conserved hypothetical protein"
"0574","NWMN_0574","acetyltransferase%2C GNAT family protein","0574: acetyltransferase%2C GNAT family protein"
"0575","NWMN_0575","conserved hypothetical protein","0575: conserved hypothetical protein"
"0576","NWMN_0576","conserved hypothetical protein","0576: conserved hypothetical protein"
"adh1","NWMN_0577","alcohol dehydrogenase","adh1: alcohol dehydrogenase"
"0578","NWMN_0578","conserved hypothetical protein","0578: conserved hypothetical protein"
"argS","NWMN_0579","arginyl-tRNA synthetase","argS: arginyl-tRNA synthetase"
"0580","NWMN_0580","conserved hypothetical protein","0580: conserved hypothetical protein"
"0581","NWMN_0581","iron compound ABC transporter%2C iron compound-binding protein","0581: iron compound ABC transporter%2C iron compound-binding protein"
"0582","NWMN_0582","iron compound ABC transporter%2C permease protein","0582: iron compound ABC transporter%2C permease protein"
"0583","NWMN_0583","conserved hypothetical protein","0583: conserved hypothetical protein"
"0584","NWMN_0584","hydrolase","0584: hydrolase"
"0585","NWMN_0585","conserved hypothetical protein","0585: conserved hypothetical protein"
"0586","NWMN_0586","conserved hypothetical protein","0586: conserved hypothetical protein"
"0587","NWMN_0587","conserved hypothetical protein","0587: conserved hypothetical protein"
"sarA","NWMN_0588","staphylococcal accessory regulator A","sarA: staphylococcal accessory regulator A"
"0589","NWMN_0589","conserved hypothetical protein","0589: conserved hypothetical protein"
"0590","NWMN_0590","conserved hypothetical protein","0590: conserved hypothetical protein"
"p:sroB","NWMN_0591","conserved hypothetical protein","p:sroB: conserved hypothetical protein"
"0592","NWMN_0592","site-specific recombinase","0592: site-specific recombinase"
"mnhA.1","NWMN_0593","Na+/H+ antiporter%2C MnhA component","mnhA.1: Na+/H+ antiporter%2C MnhA component"
"mnhB.1","NWMN_0594","Na+/H+ antiporter%2C MnhB component","mnhB.1: Na+/H+ antiporter%2C MnhB component"
"mnhC.1","NWMN_0595","Na+/H+ antiporter%2C MnhC component","mnhC.1: Na+/H+ antiporter%2C MnhC component"
"mnhD.1","NWMN_0596","Na+/H+ antiporter%2C MnhD component","mnhD.1: Na+/H+ antiporter%2C MnhD component"
"mnhE.1","NWMN_0597","Na+/H+ antiporter%2C MnhE component","mnhE.1: Na+/H+ antiporter%2C MnhE component"
"mnhF.1","NWMN_0598","Na+/H+ antiporter%2C MnhF component","mnhF.1: Na+/H+ antiporter%2C MnhF component"
"mnhG.1","NWMN_0599","Na+/H+ antiporter%2C MnhG component","mnhG.1: Na+/H+ antiporter%2C MnhG component"
"0600","NWMN_0600","conserved hypothetical protein","0600: conserved hypothetical protein"
"p:mntC","NWMN_0601","conserved hypothetical protein","p:mntC: conserved hypothetical protein"
"p:mntB","NWMN_0602","conserved hypothetical protein","p:mntB: conserved hypothetical protein"
"p:mntA","NWMN_0603","ABC transporter ATP-binding protein","p:mntA: ABC transporter ATP-binding protein"
"feoA","NWMN_0604","iron dependent repressor","feoA: iron dependent repressor"
"0605","NWMN_0605","conserved hypothetical protein","0605: conserved hypothetical protein"
"tagA","NWMN_0606","teichoic acid biosynthesis protein A","tagA: teichoic acid biosynthesis protein A"
"tagH","NWMN_0607","teichoic acid translocation ATP-binding protein","tagH: teichoic acid translocation ATP-binding protein"
"tagG","NWMN_0608","teichoic acid ABC transporter permease protein","tagG: teichoic acid ABC transporter permease protein"
"tagB","NWMN_0609","teichoic acid biosynthesis protein B","tagB: teichoic acid biosynthesis protein B"
"tagX","NWMN_0610","glycosyltransferase tagX","tagX: glycosyltransferase tagX"
"tagD","NWMN_0611","teichoic acid biosynthesis protein D","tagD: teichoic acid biosynthesis protein D"
"pbp4","NWMN_0612","penicillin-binding protein 4","pbp4: penicillin-binding protein 4"
"p:abcA","NWMN_0613","ABC transporter ATP-binding protein","p:abcA: ABC transporter ATP-binding protein"
"p:nupG","NWMN_0614","conserved hypothetical protein","p:nupG: conserved hypothetical protein"
"0615","NWMN_0615","conserved hypothetical protein","0615: conserved hypothetical protein"
"fhuA","NWMN_0616","ferrichrome transport ATP-binding protein fhuA","fhuA: ferrichrome transport ATP-binding protein fhuA"
"fhuB","NWMN_0617","ferrichrome transport permease fhuB","fhuB: ferrichrome transport permease fhuB"
"fhuG","NWMN_0618","ferrichrome transport permease fhuG","fhuG: ferrichrome transport permease fhuG"
"p:dhaK","NWMN_0619","conserved hypothetical protein","p:dhaK: conserved hypothetical protein"
"p:dhaL","NWMN_0620","conserved hypothetical protein","p:dhaL: conserved hypothetical protein"
"p:dhaM","NWMN_0621","conserved hypothetical protein","p:dhaM: conserved hypothetical protein"
"p:cxaR","NWMN_0622","conserved hypothetical protein","p:cxaR: conserved hypothetical protein"
"p:proT","NWMN_0623","conserved hypothetical protein","p:proT: conserved hypothetical protein"
"lipA.1","NWMN_0624","lipase/esterase LipA","lipA.1: lipase/esterase LipA"
"0625","NWMN_0625","conserved hypothetical protein","0625: conserved hypothetical protein"
"0626","NWMN_0626","conserved hypothetical protein","0626: conserved hypothetical protein"
"p:graX","NWMN_0627","conserved hypothetical protein","p:graX: conserved hypothetical protein"
"graR","NWMN_0628","two-component DNA-binding response regulator","graR: two-component DNA-binding response regulator"
"graS","NWMN_0629","two-component sensor histidine kinase","graS: two-component sensor histidine kinase"
"vraF","NWMN_0630","ABC transporter ATP-binding protein VraF","vraF: ABC transporter ATP-binding protein VraF"
"vraG","NWMN_0631","ABC-type transport system permease component VraG","vraG: ABC-type transport system permease component VraG"
"p:pitR","NWMN_0632","conserved hypothetical protein","p:pitR: conserved hypothetical protein"
"p:pitA","NWMN_0633","conserved hypothetical protein","p:pitA: conserved hypothetical protein"
"p:cxcA","NWMN_0634","secretory antigen SsaA-like protein","p:cxcA: secretory antigen SsaA-like protein"
"0635","NWMN_0635","conserved hypothetical protein","0635: conserved hypothetical protein"
"p:rbf","NWMN_0636","AraC family regulatory protein","p:rbf: AraC family regulatory protein"
"p:sarX","NWMN_0637","staphylococcal accessory regulator protein X","p:sarX: staphylococcal accessory regulator protein X"
"0638","NWMN_0638","conserved hypothetical protein","0638: conserved hypothetical protein"
"0639","NWMN_0639","conserved hypothetical protein","0639: conserved hypothetical protein"
"0640","NWMN_0640","conserved hypothetical protein","0640: conserved hypothetical protein"
"p:ccpE","NWMN_0641","conserved hypothetical protein","p:ccpE: conserved hypothetical protein"
"0642","NWMN_0642","conserved hypothetical protein","0642: conserved hypothetical protein"
"0643","NWMN_0643","conserved hypothetical protein","0643: conserved hypothetical protein"
"0644","NWMN_0644","conserved hypothetical protein","0644: conserved hypothetical protein"
"0645","NWMN_0645","conserved hypothetical protein","0645: conserved hypothetical protein"
"0646","NWMN_0646","conserved hypothetical protein","0646: conserved hypothetical protein"
"0647","NWMN_0647","conserved hypothetical protein","0647: conserved hypothetical protein"
"0648","NWMN_0648","conserved hypothetical protein","0648: conserved hypothetical protein"
"0649","NWMN_0649","conserved hypothetical protein","0649: conserved hypothetical protein"
"0650","NWMN_0650","conserved hypothetical protein","0650: conserved hypothetical protein"
"0651","NWMN_0651","conserved hypothetical protein","0651: conserved hypothetical protein"
"bacA","NWMN_0652","undecaprenyl-diphosphatase","bacA: undecaprenyl-diphosphatase"
"p:cydD","NWMN_0653","ABC transporter%2C ATP-binding MsbA family protein","p:cydD: ABC transporter%2C ATP-binding MsbA family protein"
"p:cydC","NWMN_0654","ABC transporter%2C ATP-binding MsbA family protein","p:cydC: ABC transporter%2C ATP-binding MsbA family protein"
"p:mgrA","NWMN_0655","MarR family regulatory protein","p:mgrA: MarR family regulatory protein"
"0656","NWMN_0656","cobalamin synthesis protein%2C P47K family protein","0656: cobalamin synthesis protein%2C P47K family protein"
"0657","NWMN_0657","oxidoreductase","0657: oxidoreductase"
"0658","NWMN_0658","conserved hypothetical protein","0658: conserved hypothetical protein"
"0659","NWMN_0659","anion transporter family protein","0659: anion transporter family protein"
"0660","NWMN_0660","conserved hypothetical protein","0660: conserved hypothetical protein"
"0661","NWMN_0661","conserved hypothetical protein","0661: conserved hypothetical protein"
"0662","NWMN_0662","conserved hypothetical protein","0662: conserved hypothetical protein"
"0663","NWMN_0663","conserved hypothetical protein","0663: conserved hypothetical protein"
"norA","NWMN_0664","quinolone resistance norA protein","norA: quinolone resistance norA protein"
"0665","NWMN_0665","conserved hypothetical protein","0665: conserved hypothetical protein"
"s:ybaK","NWMN_0666","conserved hypothetical protein","s:ybaK: conserved hypothetical protein"
"p:fruR","NWMN_0667","fructose operon transcriptional regulator","p:fruR: fructose operon transcriptional regulator"
"fruB","NWMN_0668","fructose 1-phosphate kinase","fruB: fructose 1-phosphate kinase"
"fruA","NWMN_0669","fructose specific permease","fruA: fructose specific permease"
"nagA","NWMN_0670","N-acetylglucosamine-6-phosphate deacetylase","nagA: N-acetylglucosamine-6-phosphate deacetylase"
"p:mpfA","NWMN_0671","conserved hypothetical protein","p:mpfA: conserved hypothetical protein"
"0672","NWMN_0672","aldo/keto reductase family protein","0672: aldo/keto reductase family protein"
"p:csbB","NWMN_0673","conserved hypothetical protein","p:csbB: conserved hypothetical protein"
"saeS","NWMN_0674","sensor histidine kinase SaeS","saeS: sensor histidine kinase SaeS"
"saeR","NWMN_0675","DNA-binding response regulator SaeR","saeR: DNA-binding response regulator SaeR"
"p:saeQ","NWMN_0676","conserved hypothetical protein","p:saeQ: conserved hypothetical protein"
"p:saeP","NWMN_0677","conserved hypothetical protein","p:saeP: conserved hypothetical protein"
"0678","NWMN_0678","conserved hypothetical protein","0678: conserved hypothetical protein"
"p:queE","NWMN_0679","conserved hypothetical protein","p:queE: conserved hypothetical protein"
"p:queD","NWMN_0680","6-pyruvoyl tetrahydropterin synthase","p:queD: 6-pyruvoyl tetrahydropterin synthase"
"p:queC","NWMN_0681","conserved hypothetical protein","p:queC: conserved hypothetical protein"
"pabA","NWMN_0682","para-aminobenzoate synthase component II","pabA: para-aminobenzoate synthase component II"
"pabB","NWMN_0683","anthranilate/para-aminobenzoate synthase component I","pabB: anthranilate/para-aminobenzoate synthase component I"
"pabC","NWMN_0684","4-amino-4-deoxychorismate lyase","pabC: 4-amino-4-deoxychorismate lyase"
"0685","NWMN_0685","conserved hypothetical protein","0685: conserved hypothetical protein"
"0686","NWMN_0686","allophanate hydrolase subunit 2","0686: allophanate hydrolase subunit 2"
"p:ltaS","NWMN_0687","conserved hypothetical protein","p:ltaS: conserved hypothetical protein"
"0688","NWMN_0688","ABC transporter%2C ATP-binding protein","0688: ABC transporter%2C ATP-binding protein"
"recQ","NWMN_0689","ATP-dependent DNA helicase","recQ: ATP-dependent DNA helicase"
"p:opuBA","NWMN_0690","osmoprotectant ABC transporter%2C ATP-binding protein","p:opuBA: osmoprotectant ABC transporter%2C ATP-binding protein"
"p:opuBB","NWMN_0691","ABC transporter permease protein","p:opuBB: ABC transporter permease protein"
"hisC.1","NWMN_0692","histidinol-phosphate aminotransferase","hisC.1: histidinol-phosphate aminotransferase"
"0693","NWMN_0693","conserved hypothetical protein","0693: conserved hypothetical protein"
"0694","NWMN_0694","conserved hypothetical protein","0694: conserved hypothetical protein"
"p:bmrU","NWMN_0695","conserved hypothetical protein","p:bmrU: conserved hypothetical protein"
"p:dtpT","NWMN_0696","di-/tripeptide ABC transporter","p:dtpT: di-/tripeptide ABC transporter"
"p:queF","NWMN_0697","7-cyano-7-deazaguanine reductase","p:queF: 7-cyano-7-deazaguanine reductase"
"0698","NWMN_0698","conserved hypothetical protein","0698: conserved hypothetical protein"
"nrdI","NWMN_0699","ribonucleotide reduction-related NrdI protein","nrdI: ribonucleotide reduction-related NrdI protein"
"nrdE","NWMN_0700","ribonucleotide-diphosphate reductase alpha chain","nrdE: ribonucleotide-diphosphate reductase alpha chain"
"nrdF","NWMN_0701","ribonucleotide-diphosphate reductase beta chain","nrdF: ribonucleotide-diphosphate reductase beta chain"
"p:sstA","NWMN_0702","ferrichrome ABC transporter permease","p:sstA: ferrichrome ABC transporter permease"
"p:sstB","NWMN_0703","iron compound ABC transporter%2C permease protein","p:sstB: iron compound ABC transporter%2C permease protein"
"p:sstC","NWMN_0704","ABC transporter ATP-binding protein","p:sstC: ABC transporter ATP-binding protein"
"p:sstD","NWMN_0705","ferrichrome ABC transporter lipoprotein","p:sstD: ferrichrome ABC transporter lipoprotein"
"0706","NWMN_0706","conserved hypothetical protein","0706: conserved hypothetical protein"
"murB","NWMN_0707","UDP-N-acetylenolpyruvoylglucosamine reductase","murB: UDP-N-acetylenolpyruvoylglucosamine reductase"
"0708","NWMN_0708","conserved hypothetical protein","0708: conserved hypothetical protein"
"0709","NWMN_0709","conserved hypothetical protein","0709: conserved hypothetical protein"
"p:brxC","NWMN_0710","conserved hypothetical protein","p:brxC: conserved hypothetical protein"
"0711","NWMN_0711","conserved hypothetical protein","0711: conserved hypothetical protein"
"pepT","NWMN_0712","peptidase T","pepT: peptidase T"
"0713","NWMN_0713","conserved hypothetical protein","0713: conserved hypothetical protein"
"0714","NWMN_0714","conserved hypothetical protein","0714: conserved hypothetical protein"
"p:gdpS","NWMN_0715","GGDEF domain protein","p:gdpS: GGDEF domain protein"
"llm","NWMN_0716","lipophilic regulator protein","llm: lipophilic regulator protein"
"0717","NWMN_0717","conserved hypothetical protein","0717: conserved hypothetical protein"
"p:fakB1","NWMN_0718","conserved hypothetical protein","p:fakB1: conserved hypothetical protein"
"p:comFA","NWMN_0719","conserved hypothetical protein","p:comFA: conserved hypothetical protein"
"p:comFC","NWMN_0720","conserved hypothetical protein","p:comFC: conserved hypothetical protein"
"p:saHPF","NWMN_0721","sigma 54 modulation protein","p:saHPF: sigma 54 modulation protein"
"secA","NWMN_0722","preprotein translocase SecA subunit","secA: preprotein translocase SecA subunit"
"prfB","NWMN_0723","peptide chain release factor 2%2C programmed frameshift","prfB: peptide chain release factor 2%2C programmed frameshift"
"0724","NWMN_0724","conserved hypothetical protein","0724: conserved hypothetical protein"
"0725","NWMN_0725","conserved hypothetical protein","0725: conserved hypothetical protein"
"uvrB","NWMN_0726","excinuclease ABC subunit B","uvrB: excinuclease ABC subunit B"
"uvrA","NWMN_0727","excinuclease ABC subunit A","uvrA: excinuclease ABC subunit A"
"hprK","NWMN_0728","HPr kinase/phosphatase","hprK: HPr kinase/phosphatase"
"lgt","NWMN_0729","prolipoprotein diacylglyceryl transferase","lgt: prolipoprotein diacylglyceryl transferase"
"0730","NWMN_0730","conserved hypothetical protein","0730: conserved hypothetical protein"
"0731","NWMN_0731","TPR domain protein","0731: TPR domain protein"
"trxB","NWMN_0732","thioredoxin reductase","trxB: thioredoxin reductase"
"s:rapZ","NWMN_0733","conserved hypothetical protein","s:rapZ: conserved hypothetical protein"
"0734","NWMN_0734","conserved hypothetical protein","0734: conserved hypothetical protein"
"p:whiA","NWMN_0735","conserved hypothetical protein","p:whiA: conserved hypothetical protein"
"clpP","NWMN_0736","ATP-dependent Clp protease proteolytic subunit","clpP: ATP-dependent Clp protease proteolytic subunit"
"0737","NWMN_0737","conserved hypothetical protein","0737: conserved hypothetical protein"
"0738","NWMN_0738","conserved hypothetical protein","0738: conserved hypothetical protein"
"0739","NWMN_0739","conserved hypothetical protein","0739: conserved hypothetical protein"
"gapR","NWMN_0740","glycolytic operon regulator","gapR: glycolytic operon regulator"
"gapA","NWMN_0741","glyceraldehyde 3-phosphate dehydrogenase 1","gapA: glyceraldehyde 3-phosphate dehydrogenase 1"
"pgk","NWMN_0742","phosphoglycerate kinase","pgk: phosphoglycerate kinase"
"tpi","NWMN_0743","triosephosphate isomerase","tpi: triosephosphate isomerase"
"pgm","NWMN_0744","2%2C3-bisphosphoglycerate-independent phosphoglycerate mutase","pgm: 2%2C3-bisphosphoglycerate-independent phosphoglycerate mutase"
"eno","NWMN_0745","enolase","eno: enolase"
"0746","NWMN_0746","conserved hypothetical protein","0746: conserved hypothetical protein"
"secG","NWMN_0747","preprotein translocase%2C SecG subunit","secG: preprotein translocase%2C SecG subunit"
"p:est","NWMN_0748","conserved hypothetical protein","p:est: conserved hypothetical protein"
"p:rnr","NWMN_0749","ribonuclease R","p:rnr: ribonuclease R"
"ssrP","NWMN_0750","tmRNA-binding protein","ssrP: tmRNA-binding protein"
"0751","NWMN_0751","conserved hypothetical protein","0751: conserved hypothetical protein"
"0752","NWMN_0752","conserved hypothetical protein","0752: conserved hypothetical protein"
"0753","NWMN_0753","conserved hypothetical protein","0753: conserved hypothetical protein"
"0754","NWMN_0754","conserved hypothetical protein","0754: conserved hypothetical protein"
"0755","NWMN_0755","conserved hypothetical protein","0755: conserved hypothetical protein"
"clfA","NWMN_0756","clumping factor A","clfA: clumping factor A"
"p:vwb","NWMN_0757","secreted von Willebrand factor-binding protein precursor","p:vwb: secreted von Willebrand factor-binding protein precursor"
"ssp","NWMN_0758","extracellular matrix and plasma binding protein","ssp: extracellular matrix and plasma binding protein"
"0759","NWMN_0759","conserved hypothetical protein","0759: conserved hypothetical protein"
"p:nuc","NWMN_0760","thermonuclease precursor","p:nuc: thermonuclease precursor"
"cspC","NWMN_0761","cold-shock protein CSD family protein","cspC: cold-shock protein CSD family protein"
"0762","NWMN_0762","conserved hypothetical protein","0762: conserved hypothetical protein"
"0763","NWMN_0763","conserved hypothetical protein","0763: conserved hypothetical protein"
"p:lnsA","NWMN_0764","conserved hypothetical protein","p:lnsA: conserved hypothetical protein"
"0765","NWMN_0765","conserved hypothetical protein","0765: conserved hypothetical protein"
"0766","NWMN_0766","conserved hypothetical protein","0766: conserved hypothetical protein"
"0767","NWMN_0767","conserved hypothetical protein","0767: conserved hypothetical protein"
"0768","NWMN_0768","conserved hypothetical protein","0768: conserved hypothetical protein"
"0769","NWMN_0769","conserved hypothetical protein","0769: conserved hypothetical protein"
"0770","NWMN_0770","conserved hypothetical protein","0770: conserved hypothetical protein"
"p:ohr","NWMN_0771","OsmC-like protein","p:ohr: OsmC-like protein"
"p:aroD","NWMN_0772","3-dehydroquinate dehydratase%2C type I","p:aroD: 3-dehydroquinate dehydratase%2C type I"
"p:ntrA","NWMN_0773","nitroreductase family protein","p:ntrA: nitroreductase family protein"
"0774","NWMN_0774","conserved hypothetical protein","0774: conserved hypothetical protein"
"0775","NWMN_0775","conserved hypothetical protein","0775: conserved hypothetical protein"
"p:gcvH","NWMN_0776","glycine cleavage system H protein","p:gcvH: glycine cleavage system H protein"
"0777","NWMN_0777","conserved hypothetical protein","0777: conserved hypothetical protein"
"0778","NWMN_0778","conserved hypothetical protein","0778: conserved hypothetical protein"
"0779","NWMN_0779","conserved hypothetical protein","0779: conserved hypothetical protein"
"p:metN1","NWMN_0780","ABC transporter ATP-binding protein","p:metN1: ABC transporter ATP-binding protein"
"p:metP1","NWMN_0781","ABC transporter permease protein","p:metP1: ABC transporter permease protein"
"p:metQ1","NWMN_0782","ABC transporter%2C substrate-binding protein","p:metQ1: ABC transporter%2C substrate-binding protein"
"0783","NWMN_0783","CsbD-like superfamily protein","0783: CsbD-like superfamily protein"
"0784","NWMN_0784","conserved hypothetical protein","0784: conserved hypothetical protein"
"sufC","NWMN_0785","FeS assembly ATPase SufC","sufC: FeS assembly ATPase SufC"
"sufD","NWMN_0786","FeS assembly protein SufD","sufD: FeS assembly protein SufD"
"sufS","NWMN_0787","cysteine desulfurase SufS subfamily protein","sufS: cysteine desulfurase SufS subfamily protein"
"nifU","NWMN_0788","nitrogen fixation protein NifU homolog","nifU: nitrogen fixation protein NifU homolog"
"sufB","NWMN_0789","FeS assembly protein SufB","sufB: FeS assembly protein SufB"
"0790","NWMN_0790","conserved hypothetical protein","0790: conserved hypothetical protein"
"p:mpfB","NWMN_0791","conserved hypothetical protein","p:mpfB: conserved hypothetical protein"
"0792","NWMN_0792","conserved hypothetical protein","0792: conserved hypothetical protein"
"0793","NWMN_0793","conserved hypothetical protein","0793: conserved hypothetical protein"
"0794","NWMN_0794","conserved hypothetical protein","0794: conserved hypothetical protein"
"0795","NWMN_0795","conserved hypothetical protein","0795: conserved hypothetical protein"
"lipA.2","NWMN_0796","lipoic acid synthetase","lipA.2: lipoic acid synthetase"
"0797","NWMN_0797","conserved hypothetical protein","0797: conserved hypothetical protein"
"0798","NWMN_0798","conserved hypothetical protein","0798: conserved hypothetical protein"
"0799","NWMN_0799","conserved hypothetical protein","0799: conserved hypothetical protein"
"p:nagD","NWMN_0800","hydrolase","p:nagD: hydrolase"
"0801","NWMN_0801","D-isomer specific 2-hydroxyacid dehydrogenase","0801: D-isomer specific 2-hydroxyacid dehydrogenase"
"p:dltX","NWMN_0802","conserved hypothetical protein","p:dltX: conserved hypothetical protein"
"dltA","NWMN_0803","D-alanine-D-alanyl carrier protein ligase","dltA: D-alanine-D-alanyl carrier protein ligase"
"dltB","NWMN_0804","D-alanine lipoteichoic acid and wall teichoic acid esterification protein","dltB: D-alanine lipoteichoic acid and wall teichoic acid esterification protein"
"dltC","NWMN_0805","D-alanyl carrier protein","dltC: D-alanyl carrier protein"
"dltD","NWMN_0806","D-alanine-activating DltD protein","dltD: D-alanine-activating DltD protein"
"p:nfu","NWMN_0807","conserved hypothetical protein","p:nfu: conserved hypothetical protein"
"0808","NWMN_0808","conserved hypothetical protein","0808: conserved hypothetical protein"
"p:ndh2b","NWMN_0809","conserved hypothetical protein","p:ndh2b: conserved hypothetical protein"
"0810","NWMN_0810","conserved hypothetical protein","0810: conserved hypothetical protein"
"p:ndh2a","NWMN_0811","conserved hypothetical protein","p:ndh2a: conserved hypothetical protein"
"ampA","NWMN_0812","cytosol aminopeptidase","ampA: cytosol aminopeptidase"
"0813","NWMN_0813","Na+/H+ antiporter family protein","0813: Na+/H+ antiporter family protein"
"0814","NWMN_0814","conserved hypothetical protein","0814: conserved hypothetical protein"
"0815","NWMN_0815","conserved hypothetical protein","0815: conserved hypothetical protein"
"mnhG.2","NWMN_0816","Na+/H+ antiporter subunit","mnhG.2: Na+/H+ antiporter subunit"
