# Program:featureCounts v2.0.8; Command:"featureCounts" "-a" "../inputs/genomes/RATT/genomes/Newman/genomic.gff3" "-o" "/shares/kouyos.virology.uzh/tdemet/mariane_RNAseq/o39765_results/Newman/featureCounts/R3_NM-I_t12_S9_Newman_counts.txt" "-p" "--countReadPairs" "-s" "2" "-O" "--primary" "-t" "CDS" "-g" "locus_tag" "-T" "8" "/shares/kouyos.virology.uzh/tdemet/mariane_RNAseq/o39765_results/Newman/bowtie2/R3_NM-I_t12_S9.bam" 
Geneid	Chr	Start	End	Strand	Length	/shares/kouyos.virology.uzh/tdemet/mariane_RNAseq/o39765_results/Newman/bowtie2/R3_NM-I_t12_S9.bam
NWMN_0481	AP009351.1	554055	554942	+	888	649
NWMN_0482	AP009351.1	554946	555506	+	561	433
NWMN_0483	AP009351.1	555714	556928	-	1215	91
NWMN_0484	AP009351.1	557086	557547	+	462	474
NWMN_0485	AP009351.1	557644	558132	+	489	709
NWMN_0486	AP009351.1	558119	559129	+	1011	1305
NWMN_0487	AP009351.1	559143	561599	+	2457	3077
NWMN_0488	AP009351.1	562084	563448	+	1365	203
NWMN_0489	AP009351.1	563473	564546	+	1074	48
NWMN_0490	AP009351.1	565103	566557	+	1455	304
NWMN_0491	AP009351.1	566980	567627	+	648	91
NWMN_0492	AP009351.1	567611	569011	+	1401	204
NWMN_0493	AP009351.1	569004	569408	+	405	73
NWMN_0494	AP009351.1	569416	570162	+	747	136
NWMN_0495	AP009351.1	570162	570686	+	525	88
NWMN_0496	AP009351.1	570767	571336	+	570	35
NWMN_0497	AP009351.1	571650	571832	+	183	74
NWMN_0498	AP009351.1	571845	572393	+	549	237
NWMN_0499	AP009351.1	572565	572996	+	432	455
NWMN_0500	AP009351.1	573204	573896	+	693	538
NWMN_0501	AP009351.1	574168	574668	+	501	337
NWMN_0502	AP009351.1	574711	575079	+	369	156
NWMN_0503	AP009351.1	575254	575862	+	609	41
NWMN_0504	AP009351.1	576077	579628	+	3552	2983
NWMN_0505	AP009351.1	579765	583388	+	3624	2662
NWMN_0506	AP009351.1	583525	583779	+	255	328
NWMN_0507	AP009351.1	583877	584290	+	414	1018
NWMN_0508	AP009351.1	584356	584826	+	471	1062
NWMN_0509	AP009351.1	584949	587030	+	2082	4260
NWMN_0510	AP009351.1	587247	588431	+	1185	3100
NWMN_0511	AP009351.1	588713	589897	-	1185	28
NWMN_0512	AP009351.1	590059	591246	+	1188	414
NWMN_0513	AP009351.1	591512	592390	+	879	1160
NWMN_0514	AP009351.1	592550	594187	+	1638	35
NWMN_0515	AP009351.1	594401	595366	+	966	217
NWMN_0516	AP009351.1	595701	596777	+	1077	155
NWMN_0517	AP009351.1	597027	597710	+	684	39
NWMN_0518	AP009351.1	597826	598488	-	663	19
NWMN_0519	AP009351.1	598481	599143	-	663	3
NWMN_0520	AP009351.1	599165	599635	+	471	4
NWMN_0521	AP009351.1	599782	600651	+	870	26
NWMN_0522	AP009351.1	600672	601238	+	567	28
NWMN_0523	AP009351.1	601668	604511	+	2844	135
NWMN_0524	AP009351.1	604878	608825	+	3948	198
NWMN_0525	AP009351.1	609219	612719	+	3501	133
NWMN_0526	AP009351.1	612838	614310	+	1473	39
NWMN_0527	AP009351.1	614434	615924	-	1491	99
NWMN_0528	AP009351.1	615998	616150	+	153	0
NWMN_0529	AP009351.1	616206	617084	-	879	145
NWMN_0530	AP009351.1	617097	617762	-	666	149
NWMN_0531	AP009351.1	617776	618144	-	369	77
NWMN_0532	AP009351.1	618414	619172	+	759	82
NWMN_0533	AP009351.1	619249	619881	+	633	246
NWMN_0534	AP009351.1	619883	620431	+	549	428
NWMN_0535	AP009351.1	620535	621191	+	657	1
NWMN_0536	AP009351.1	621693	623093	+	1401	477
NWMN_0537	AP009351.1	623344	623637	+	294	0
NWMN_0538	AP009351.1	623637	625013	+	1377	4
NWMN_0539	AP009351.1	625015	626154	+	1140	21
NWMN_0540	AP009351.1	626129	626494	+	366	2
NWMN_0541	AP009351.1	626497	626766	+	270	2
NWMN_0542	AP009351.1	626967	627134	-	168	105
NWMN_0543	AP009351.1	627641	628471	-	831	162
NWMN_0544	AP009351.1	628655	629311	+	657	28
NWMN_0545	AP009351.1	629312	629692	+	381	26
NWMN_0546	AP009351.1	629825	630193	+	369	17
NWMN_0547	AP009351.1	630314	631798	+	1485	309
NWMN_0548	AP009351.1	631940	632392	-	453	17
NWMN_0549	AP009351.1	632405	633169	-	765	50
NWMN_0550	AP009351.1	633718	634470	-	753	116
NWMN_0551	AP009351.1	634638	635624	+	987	476
NWMN_0552	AP009351.1	635627	636463	+	837	334
NWMN_0553	AP009351.1	637050	637970	+	921	191
NWMN_0554	AP009351.1	637975	638958	+	984	376
NWMN_0555	AP009351.1	638971	640047	+	1077	323
NWMN_0556	AP009351.1	640212	640565	+	354	66
NWMN_0557	AP009351.1	640618	641940	-	1323	25
NWMN_0558	AP009351.1	641927	642367	-	441	6
NWMN_0559	AP009351.1	642992	644401	+	1410	26
NWMN_0560	AP009351.1	644405	645031	+	627	1
NWMN_0561	AP009351.1	645157	645798	+	642	3
NWMN_0562	AP009351.1	645886	646503	+	618	9
NWMN_0563	AP009351.1	646578	647207	+	630	8
NWMN_0564	AP009351.1	647403	648023	+	621	1
NWMN_0565	AP009351.1	648154	648795	+	642	2
NWMN_0566	AP009351.1	648842	649471	+	630	1
NWMN_0567	AP009351.1	649924	650553	+	630	1
NWMN_0568	AP009351.1	650668	651030	+	363	4
NWMN_0569	AP009351.1	650985	651317	+	333	0
NWMN_0570	AP009351.1	651354	651989	+	636	2
NWMN_0571	AP009351.1	652224	652850	+	627	4
NWMN_0572	AP009351.1	653120	654058	+	939	74
NWMN_0573	AP009351.1	654269	654805	+	537	289
NWMN_0574	AP009351.1	654974	655450	+	477	45
NWMN_0575	AP009351.1	655490	656785	+	1296	113
NWMN_0576	AP009351.1	656813	657334	+	522	47
NWMN_0577	AP009351.1	657833	658843	+	1011	2374
NWMN_0578	AP009351.1	659106	659534	+	429	51
NWMN_0579	AP009351.1	659531	661192	+	1662	149
NWMN_0580	AP009351.1	661581	662216	+	636	6
NWMN_0581	AP009351.1	662595	663482	+	888	39
NWMN_0582	AP009351.1	663630	664580	+	951	16
NWMN_0583	AP009351.1	664635	665354	+	720	34
NWMN_0584	AP009351.1	665338	666138	+	801	38
NWMN_0585	AP009351.1	666274	666780	+	507	4379
NWMN_0586	AP009351.1	666942	667658	+	717	56
NWMN_0587	AP009351.1	667827	668615	+	789	666
NWMN_0588	AP009351.1	668866	669240	-	375	400
NWMN_0589	AP009351.1	669950	670099	-	150	0
NWMN_0590	AP009351.1	670188	671117	-	930	11
NWMN_0591	AP009351.1	671312	671653	-	342	1
NWMN_0592	AP009351.1	671915	672475	+	561	18
NWMN_0593	AP009351.1	672494	674896	+	2403	110
NWMN_0594	AP009351.1	674883	675308	+	426	33
NWMN_0595	AP009351.1	675305	675649	+	345	19
NWMN_0596	AP009351.1	675639	677135	+	1497	109
NWMN_0597	AP009351.1	677136	677618	+	483	18
NWMN_0598	AP009351.1	677615	677917	+	303	55
NWMN_0599	AP009351.1	677883	678329	+	447	65
NWMN_0600	AP009351.1	678669	680711	+	2043	151
NWMN_0601	AP009351.1	681871	682800	-	930	653
NWMN_0602	AP009351.1	682797	683633	-	837	322
NWMN_0603	AP009351.1	683627	684370	-	744	369
NWMN_0604	AP009351.1	684492	685136	+	645	126
NWMN_0605	AP009351.1	685382	685978	-	597	7
NWMN_0606	AP009351.1	686202	686966	+	765	31
NWMN_0607	AP009351.1	687027	687821	-	795	205
NWMN_0608	AP009351.1	688147	688980	+	834	100
NWMN_0609	AP009351.1	689079	690182	+	1104	97
NWMN_0610	AP009351.1	690179	691240	+	1062	122
NWMN_0611	AP009351.1	691303	691701	+	399	56
NWMN_0612	AP009351.1	691818	693113	-	1296	66
NWMN_0613	AP009351.1	693534	695261	+	1728	1401
NWMN_0614	AP009351.1	695620	696849	+	1230	249
NWMN_0615	AP009351.1	697374	698207	+	834	65
NWMN_0616	AP009351.1	698489	699286	+	798	131
NWMN_0617	AP009351.1	699349	700326	+	978	29
NWMN_0618	AP009351.1	700323	701339	+	1017	35
NWMN_0619	AP009351.1	701573	702541	+	969	113
NWMN_0620	AP009351.1	702583	703167	+	585	107
NWMN_0621	AP009351.1	703145	703522	+	378	42
NWMN_0622	AP009351.1	703638	704135	+	498	155
NWMN_0623	AP009351.1	704591	705658	+	1068	139
NWMN_0624	AP009351.1	705809	706852	+	1044	8
NWMN_0625	AP009351.1	707181	707609	+	429	24
NWMN_0626	AP009351.1	707818	708324	-	507	80
NWMN_0627	AP009351.1	708437	709360	+	924	26
NWMN_0628	AP009351.1	709376	710050	+	675	28
NWMN_0629	AP009351.1	710043	711083	+	1041	49
NWMN_0630	AP009351.1	711227	711988	+	762	19
NWMN_0631	AP009351.1	711966	713867	+	1902	38
NWMN_0632	AP009351.1	714592	715209	+	618	57
NWMN_0633	AP009351.1	715225	716232	+	1008	198
NWMN_0634	AP009351.1	716820	717617	-	798	163
NWMN_0635	AP009351.1	717978	718622	+	645	37
NWMN_0636	AP009351.1	719319	721469	+	2151	6
NWMN_0637	AP009351.1	721549	721974	+	426	22
NWMN_0638	AP009351.1	722164	722880	+	717	210
NWMN_0639	AP009351.1	722880	723353	+	474	92
NWMN_0640	AP009351.1	723706	724350	+	645	57
NWMN_0641	AP009351.1	724466	725332	+	867	125
NWMN_0642	AP009351.1	725671	726891	+	1221	91
NWMN_0643	AP009351.1	726888	727376	+	489	21
NWMN_0644	AP009351.1	727475	728164	-	690	6
NWMN_0645	AP009351.1	728291	728734	+	444	0
NWMN_0646	AP009351.1	728801	729196	+	396	19
NWMN_0647	AP009351.1	729334	729633	+	300	41
NWMN_0648	AP009351.1	729713	730255	+	543	4
NWMN_0649	AP009351.1	730351	730917	-	567	174
NWMN_0650	AP009351.1	730919	731377	-	459	86
NWMN_0651	AP009351.1	731380	732063	-	684	137
NWMN_0652	AP009351.1	732235	733110	-	876	43
NWMN_0653	AP009351.1	733329	734960	+	1632	93
NWMN_0654	AP009351.1	734957	736630	+	1674	130
NWMN_0655	AP009351.1	736757	737200	-	444	543
NWMN_0656	AP009351.1	737427	738353	+	927	43
NWMN_0657	AP009351.1	738456	739364	+	909	65
NWMN_0658	AP009351.1	739399	739686	+	288	10
NWMN_0659	AP009351.1	739969	741522	+	1554	166
NWMN_0660	AP009351.1	741608	742981	+	1374	675
NWMN_0661	AP009351.1	743136	743420	-	285	7
NWMN_0662	AP009351.1	743417	744037	-	621	3
NWMN_0663	AP009351.1	744220	744642	-	423	14
NWMN_0664	AP009351.1	744851	746017	+	1167	36
NWMN_0665	AP009351.1	746310	746762	+	453	13
NWMN_0666	AP009351.1	746936	747418	+	483	18
NWMN_0667	AP009351.1	747671	748432	+	762	29
NWMN_0668	AP009351.1	748429	749349	+	921	48
NWMN_0669	AP009351.1	749355	751313	+	1959	287
NWMN_0670	AP009351.1	751621	752802	+	1182	41
NWMN_0671	AP009351.1	753023	754372	+	1350	136
NWMN_0672	AP009351.1	754594	755433	+	840	114
NWMN_0673	AP009351.1	755565	756548	+	984	347
NWMN_0674	AP009351.1	756620	757675	-	1056	4206
NWMN_0675	AP009351.1	757675	758361	-	687	4641
NWMN_0676	AP009351.1	758336	758809	-	474	3034
NWMN_0677	AP009351.1	759151	759591	-	441	2851
NWMN_0678	AP009351.1	759871	760455	-	585	12
NWMN_0679	AP009351.1	760554	761267	-	714	137
NWMN_0680	AP009351.1	761271	761690	-	420	58
NWMN_0681	AP009351.1	761692	762360	-	669	27
NWMN_0682	AP009351.1	762711	763304	+	594	66
NWMN_0683	AP009351.1	763288	764439	+	1152	144
NWMN_0684	AP009351.1	764439	765047	+	609	93
NWMN_0685	AP009351.1	765407	766117	+	711	100
NWMN_0686	AP009351.1	766101	767105	+	1005	217
NWMN_0687	AP009351.1	767579	769519	+	1941	1502
NWMN_0688	AP009351.1	769790	771673	+	1884	203
NWMN_0689	AP009351.1	771685	773466	+	1782	288
NWMN_0690	AP009351.1	773688	774665	+	978	171
NWMN_0691	AP009351.1	774658	776172	+	1515	232
NWMN_0692	AP009351.1	776412	777470	+	1059	43
NWMN_0693	AP009351.1	777821	778363	+	543	62
NWMN_0694	AP009351.1	778439	778609	-	171	4
NWMN_0695	AP009351.1	779043	779960	-	918	256
NWMN_0696	AP009351.1	780230	781735	-	1506	120
NWMN_0697	AP009351.1	782076	782576	-	501	14
NWMN_0698	AP009351.1	782596	783462	-	867	25
NWMN_0699	AP009351.1	784263	784661	+	399	250
NWMN_0700	AP009351.1	784573	786729	+	2157	827
NWMN_0701	AP009351.1	786847	787818	+	972	239
NWMN_0702	AP009351.1	788526	789497	+	972	9
NWMN_0703	AP009351.1	789484	790440	+	957	2
NWMN_0704	AP009351.1	790437	791198	+	762	2
NWMN_0705	AP009351.1	791317	792345	+	1029	10
NWMN_0706	AP009351.1	792662	792976	-	315	31
NWMN_0707	AP009351.1	792994	793917	-	924	88
NWMN_0708	AP009351.1	794044	794562	-	519	1
NWMN_0709	AP009351.1	794682	795560	+	879	73
NWMN_0710	AP009351.1	795714	796034	+	321	75
NWMN_0711	AP009351.1	796459	797583	+	1125	168
NWMN_0712	AP009351.1	797772	798998	-	1227	211
NWMN_0713	AP009351.1	799012	799506	-	495	28
NWMN_0714	AP009351.1	799524	800285	-	762	22
NWMN_0715	AP009351.1	800481	801551	-	1071	62
NWMN_0716	AP009351.1	801869	802924	+	1056	37
NWMN_0717	AP009351.1	803094	803735	-	642	59
NWMN_0718	AP009351.1	803879	804745	+	867	182
NWMN_0719	AP009351.1	805109	806191	+	1083	18
NWMN_0720	AP009351.1	806184	806858	+	675	3
NWMN_0721	AP009351.1	806919	807491	+	573	2717
NWMN_0722	AP009351.1	807905	810436	+	2532	685
NWMN_0723	AP009351.1	810866	811861	+	996	89
NWMN_0724	AP009351.1	812270	813109	+	840	11
NWMN_0725	AP009351.1	813283	813933	+	651	15
NWMN_0726	AP009351.1	814435	816420	+	1986	300
NWMN_0727	AP009351.1	816428	819274	+	2847	644
NWMN_0728	AP009351.1	819936	820868	+	933	170
NWMN_0729	AP009351.1	820874	821713	+	840	89
NWMN_0730	AP009351.1	821721	822206	+	486	49
NWMN_0731	AP009351.1	822214	823653	+	1440	124
NWMN_0732	AP009351.1	823720	824655	+	936	610
NWMN_0733	AP009351.1	825535	826446	+	912	284
NWMN_0734	AP009351.1	826443	827438	+	996	884
NWMN_0735	AP009351.1	827548	828492	+	945	984
NWMN_0736	AP009351.1	829065	829652	+	588	525
NWMN_0737	AP009351.1	829895	830797	-	903	102
NWMN_0738	AP009351.1	831501	832130	+	630	325
NWMN_0739	AP009351.1	832276	832482	-	207	1
NWMN_0740	AP009351.1	832890	833903	+	1014	255
NWMN_0741	AP009351.1	833956	834966	+	1011	900
NWMN_0742	AP009351.1	835105	836295	+	1191	375
NWMN_0743	AP009351.1	836417	837178	+	762	582
NWMN_0744	AP009351.1	837181	838698	+	1518	1061
NWMN_0745	AP009351.1	838828	840132	+	1305	3074
NWMN_0746	AP009351.1	840472	840930	+	459	38
NWMN_0747	AP009351.1	840997	841230	+	234	155
NWMN_0748	AP009351.1	841346	842086	+	741	158
NWMN_0749	AP009351.1	842120	844492	+	2373	837
NWMN_0750	AP009351.1	844514	844978	+	465	179
NWMN_0751	AP009351.1	845805	845999	-	195	3
NWMN_0752	AP009351.1	846300	846623	-	324	8
NWMN_0753	AP009351.1	846977	847705	-	729	17
NWMN_0754	AP009351.1	848304	848825	+	522	8
NWMN_0755	AP009351.1	848964	849494	+	531	20
NWMN_0756	AP009351.1	849757	852558	+	2802	13194
NWMN_0757	AP009351.1	852779	854305	+	1527	24
NWMN_0758	AP009351.1	854656	855678	+	1023	53
NWMN_0759	AP009351.1	856013	856483	+	471	29
NWMN_0760	AP009351.1	856824	857510	+	687	25
NWMN_0761	AP009351.1	857867	858067	+	201	852
NWMN_0762	AP009351.1	858563	858781	-	219	13
NWMN_0763	AP009351.1	858843	859127	-	285	7
NWMN_0764	AP009351.1	859215	859784	-	570	5
NWMN_0765	AP009351.1	859972	860160	-	189	12
NWMN_0766	AP009351.1	860790	860993	+	204	7
NWMN_0767	AP009351.1	860990	861226	-	237	135
NWMN_0768	AP009351.1	861451	862032	+	582	22
NWMN_0769	AP009351.1	862105	862722	-	618	28
NWMN_0770	AP009351.1	862877	863371	-	495	35
NWMN_0771	AP009351.1	863770	864192	-	423	82
NWMN_0772	AP009351.1	864340	865056	+	717	16
NWMN_0773	AP009351.1	865139	865678	+	540	59
NWMN_0774	AP009351.1	865828	866148	-	321	41
NWMN_0775	AP009351.1	866292	866648	+	357	21
NWMN_0776	AP009351.1	866806	867186	+	381	346
NWMN_0777	AP009351.1	867365	868243	+	879	44
NWMN_0778	AP009351.1	868976	869371	+	396	43
NWMN_0779	AP009351.1	869364	869660	+	297	14
NWMN_0780	AP009351.1	869910	870935	+	1026	58
NWMN_0781	AP009351.1	870928	871623	+	696	20
NWMN_0782	AP009351.1	871641	872462	+	822	28
NWMN_0783	AP009351.1	872816	873010	+	195	2170
NWMN_0784	AP009351.1	873243	874094	-	852	17
NWMN_0785	AP009351.1	874422	875183	+	762	594
NWMN_0786	AP009351.1	875281	876588	+	1308	896
NWMN_0787	AP009351.1	876694	877944	+	1251	1121
NWMN_0788	AP009351.1	877934	878398	+	465	473
NWMN_0789	AP009351.1	878549	879946	+	1398	1383
NWMN_0790	AP009351.1	880276	880590	-	315	0
NWMN_0791	AP009351.1	880955	881995	+	1041	56
NWMN_0792	AP009351.1	882009	883076	+	1068	45
NWMN_0793	AP009351.1	883289	884137	+	849	74
NWMN_0794	AP009351.1	884150	884977	+	828	56
NWMN_0795	AP009351.1	885004	886323	+	1320	142
NWMN_0796	AP009351.1	886407	887324	+	918	334
NWMN_0797	AP009351.1	887445	887837	+	393	12
NWMN_0798	AP009351.1	887916	888182	-	267	12
NWMN_0799	AP009351.1	888280	888714	+	435	65
NWMN_0800	AP009351.1	888714	889493	+	780	109
NWMN_0801	AP009351.1	889526	890485	+	960	209
NWMN_0802	AP009351.1	890897	891049	+	153	10
NWMN_0803	AP009351.1	891065	892522	+	1458	249
NWMN_0804	AP009351.1	892519	893733	+	1215	158
NWMN_0805	AP009351.1	893751	893987	+	237	75
NWMN_0806	AP009351.1	893984	895159	+	1176	282
NWMN_0807	AP009351.1	895422	895664	-	243	197
NWMN_0808	AP009351.1	895750	896088	+	339	24
NWMN_0809	AP009351.1	896147	897211	-	1065	217
NWMN_0810	AP009351.1	897528	897764	+	237	97
NWMN_0811	AP009351.1	898583	899791	+	1209	1175
NWMN_0812	AP009351.1	899922	901397	+	1476	74
NWMN_0813	AP009351.1	901809	903125	+	1317	53
NWMN_0814	AP009351.1	903144	903518	+	375	45
NWMN_0815	AP009351.1	903574	904728	-	1155	3
NWMN_0816	AP009351.1	904977	905333	-	357	39
NWMN_0817	AP009351.1	905311	905604	-	294	26
NWMN_0818	AP009351.1	905604	906083	-	480	68
NWMN_0819	AP009351.1	906085	907581	-	1497	178
NWMN_0820	AP009351.1	907574	907972	-	399	81
NWMN_0821	AP009351.1	907915	908343	-	429	56
NWMN_0822	AP009351.1	908336	910741	-	2406	227
NWMN_0823	AP009351.1	910872	911255	-	384	16
NWMN_0824	AP009351.1	911319	911912	+	594	112
NWMN_0825	AP009351.1	912328	912705	+	378	297
NWMN_0826	AP009351.1	913067	914194	+	1128	165
NWMN_0827	AP009351.1	914502	915692	+	1191	837
NWMN_0828	AP009351.1	915759	917045	+	1287	2058
NWMN_0829	AP009351.1	917215	917616	+	402	97
NWMN_0830	AP009351.1	917548	918477	-	930	12
NWMN_0831	AP009351.1	918719	920098	-	1380	5
NWMN_0832	AP009351.1	920088	921293	-	1206	8
NWMN_0833	AP009351.1	921644	922975	+	1332	484
NWMN_0834	AP009351.1	923300	923875	+	576	18
NWMN_0835	AP009351.1	923880	924404	+	525	35
NWMN_0836	AP009351.1	924420	924995	+	576	50
NWMN_0837	AP009351.1	925155	928631	+	3477	165
NWMN_0838	AP009351.1	928632	932285	+	3654	286
NWMN_0839	AP009351.1	932451	933353	+	903	441
NWMN_0840	AP009351.1	933682	934071	+	390	22
NWMN_0841	AP009351.1	934242	935558	-	1317	206
NWMN_0842	AP009351.1	935610	936434	-	825	124
NWMN_0843	AP009351.1	936539	936856	+	318	171
NWMN_0844	AP009351.1	937403	939217	+	1815	7
NWMN_0845	AP009351.1	939420	942029	+	2610	14181
NWMN_0846	AP009351.1	942088	942957	-	870	0
NWMN_0847	AP009351.1	943067	944212	+	1146	2
NWMN_0848	AP009351.1	944196	944837	+	642	1
NWMN_0849	AP009351.1	944830	945948	+	1119	0
NWMN_0850	AP009351.1	945932	946447	+	516	1
NWMN_0851	AP009351.1	946758	947192	+	435	61
NWMN_0852	AP009351.1	947372	947686	+	315	0
NWMN_0853	AP009351.1	947929	948870	+	942	84
NWMN_0854	AP009351.1	948882	950126	+	1245	370
NWMN_0855	AP009351.1	950181	950552	-	372	1
NWMN_0856	AP009351.1	950795	951721	+	927	18
NWMN_0857	AP009351.1	951721	952791	+	1071	28
NWMN_0858	AP009351.1	952808	953890	+	1083	58
NWMN_0859	AP009351.1	953880	954821	+	942	73
NWMN_0860	AP009351.1	954840	956495	+	1656	197
NWMN_0861	AP009351.1	956707	958422	+	1716	3
NWMN_0862	AP009351.1	958473	959459	+	987	1
NWMN_0863	AP009351.1	959462	960442	+	981	2
NWMN_0864	AP009351.1	960435	961397	+	963	2
NWMN_0865	AP009351.1	961409	962290	+	882	7
NWMN_0866	AP009351.1	962332	963321	-	990	77
NWMN_0867	AP009351.1	963616	964011	+	396	3667
NWMN_0868	AP009351.1	964382	965101	+	720	462
NWMN_0869	AP009351.1	965222	966208	+	987	3
NWMN_0870	AP009351.1	966256	968064	+	1809	50
NWMN_0871	AP009351.1	968294	968395	+	102	1
NWMN_0872	AP009351.1	968524	969330	-	807	139
NWMN_0873	AP009351.1	969353	969718	-	366	117
NWMN_0874	AP009351.1	969822	970415	-	594	25
NWMN_0875	AP009351.1	970601	970948	+	348	59
NWMN_0876	AP009351.1	970965	971600	+	636	151
NWMN_0877	AP009351.1	971617	972426	+	810	298
NWMN_0878	AP009351.1	972423	973277	+	855	88
NWMN_0879	AP009351.1	973298	974683	+	1386	100
NWMN_0880	AP009351.1	974693	976537	+	1845	101
NWMN_0881	AP009351.1	976815	977585	+	771	228
NWMN_0882	AP009351.1	977780	978865	-	1086	76
NWMN_0883	AP009351.1	979147	980775	+	1629	33
NWMN_0884	AP009351.1	980917	981675	+	759	12
NWMN_0885	AP009351.1	981869	982378	+	510	652
NWMN_0886	AP009351.1	982491	983681	-	1191	89
NWMN_0887	AP009351.1	983659	984834	-	1176	137
NWMN_0888	AP009351.1	985267	986748	+	1482	82
NWMN_0889	AP009351.1	986729	986992	+	264	22
NWMN_0890	AP009351.1	986992	988554	+	1563	141
NWMN_0891	AP009351.1	988856	989659	+	804	69
NWMN_0892	AP009351.1	989878	992202	+	2325	67
NWMN_0893	AP009351.1	992219	993577	+	1359	89
NWMN_0894	AP009351.1	993713	995227	+	1515	91
NWMN_0895	AP009351.1	995714	996283	-	570	7
NWMN_0896	AP009351.1	996493	996717	+	225	810
NWMN_0897	AP009351.1	996792	997778	-	987	53
NWMN_0898	AP009351.1	997977	998153	+	177	29
NWMN_0899	AP009351.1	998168	998770	+	603	36
NWMN_0900	AP009351.1	999832	1000005	+	174	0
NWMN_0901	AP009351.1	1000114	1002078	+	1965	1
NWMN_0902	AP009351.1	1002081	1002401	+	321	0
NWMN_0903	AP009351.1	1002398	1003039	+	642	3
NWMN_0904	AP009351.1	1003127	1003417	-	291	1
NWMN_0905	AP009351.1	1003696	1003983	+	288	7
NWMN_0906	AP009351.1	1003989	1005470	+	1482	54
NWMN_0907	AP009351.1	1005559	1005936	-	378	3
NWMN_0908	AP009351.1	1006392	1007351	+	960	14
NWMN_0909	AP009351.1	1007592	1007882	-	291	5
NWMN_0910	AP009351.1	1007972	1008523	+	552	12
NWMN_0911	AP009351.1	1008575	1009513	-	939	107
NWMN_0912	AP009351.1	1009686	1011056	+	1371	235
NWMN_0913	AP009351.1	1011043	1012716	+	1674	345
NWMN_0914	AP009351.1	1012703	1013506	+	804	344
NWMN_0915	AP009351.1	1013499	1014320	+	822	1047
NWMN_0916	AP009351.1	1014559	1014888	-	330	12
NWMN_0917	AP009351.1	1014926	1016107	-	1182	12
NWMN_0918	AP009351.1	1016189	1017199	-	1011	12
NWMN_0919	AP009351.1	1017727	1018881	-	1155	23
NWMN_0920	AP009351.1	1019077	1020087	-	1011	4
NWMN_0921	AP009351.1	1020240	1020659	+	420	7
NWMN_0922	AP009351.1	1020866	1024636	-	3771	1395
NWMN_0923	AP009351.1	1024864	1025298	-	435	6
NWMN_0924	AP009351.1	1025453	1025923	-	471	94
NWMN_0925	AP009351.1	1025971	1027188	-	1218	187
NWMN_0926	AP009351.1	1027639	1028832	+	1194	41
NWMN_0927	AP009351.1	1029369	1029659	-	291	1534
NWMN_0928	AP009351.1	1029656	1030261	-	606	3241
NWMN_0929	AP009351.1	1030251	1032239	-	1989	6930
NWMN_0930	AP009351.1	1032239	1033339	-	1101	3139
NWMN_0931	AP009351.1	1033911	1034228	-	318	244
NWMN_0932	AP009351.1	1035034	1035894	-	861	774
NWMN_0933	AP009351.1	1036095	1036577	+	483	32
NWMN_0934	AP009351.1	1036564	1037688	+	1125	90
NWMN_0935	AP009351.1	1037692	1038396	+	705	45
NWMN_0936	AP009351.1	1038661	1039332	+	672	152
NWMN_0937	AP009351.1	1039325	1041514	+	2190	668
NWMN_0938	AP009351.1	1041493	1042977	+	1485	643
NWMN_0939	AP009351.1	1042970	1043998	+	1029	606
NWMN_0940	AP009351.1	1044001	1044567	+	567	396
NWMN_0941	AP009351.1	1044582	1046060	+	1479	917
NWMN_0942	AP009351.1	1046082	1047329	+	1248	1006
NWMN_0943	AP009351.1	1047594	1048415	-	822	16
NWMN_0944	AP009351.1	1048393	1049793	-	1401	46
NWMN_0945	AP009351.1	1049808	1050383	-	576	20
NWMN_0946	AP009351.1	1051190	1052485	+	1296	240
NWMN_0947	AP009351.1	1052910	1054082	+	1173	61
NWMN_0948	AP009351.1	1054136	1054678	+	543	225
NWMN_0949	AP009351.1	1054832	1055098	+	267	551
NWMN_0950	AP009351.1	1055101	1056819	+	1719	2529
NWMN_0951	AP009351.1	1057056	1057289	-	234	12
NWMN_0952	AP009351.1	1057487	1058848	+	1362	66
NWMN_0953	AP009351.1	1058845	1059864	+	1020	33
NWMN_0954	AP009351.1	1059997	1060659	+	663	78
NWMN_0955	AP009351.1	1060677	1060832	+	156	23
NWMN_0956	AP009351.1	1061008	1062705	-	1698	502
NWMN_0957	AP009351.1	1063404	1063955	-	552	47
NWMN_0958	AP009351.1	1064320	1064946	+	627	71
NWMN_0959	AP009351.1	1065117	1066229	+	1113	2248
NWMN_0960	AP009351.1	1066233	1067210	+	978	2060
NWMN_0961	AP009351.1	1067301	1068593	+	1293	3156
NWMN_0962	AP009351.1	1068597	1070003	+	1407	3922
NWMN_0963	AP009351.1	1070171	1070446	+	276	23
NWMN_0964	AP009351.1	1070590	1071129	+	540	21
NWMN_0965	AP009351.1	1071142	1072236	+	1095	19
NWMN_0966	AP009351.1	1072229	1073026	+	798	7
NWMN_0967	AP009351.1	1073032	1073841	+	810	14
NWMN_0968	AP009351.1	1073841	1074914	+	1074	78
NWMN_0969	AP009351.1	1074988	1076007	+	1020	615
NWMN_0970	AP009351.1	1076290	1076709	+	420	19
NWMN_0971	AP009351.1	1076791	1078143	-	1353	1000
NWMN_0972	AP009351.1	1078326	1078940	-	615	32
