locus tag,new locus tag,pan locus tag,pan gene symbol,type,symbol,synonym,product,replicon,strand,start,end,gene length,essential,Gene ID,gene RefSeq,MicrobesOnline,description,protein length,theoretical pI,theoretical MW,GRAVY,TIGRFAM Meta Role,TIGRFAM Main Role,TIGRFAM Sub Role,TIGRFAM function,TIGRFAM,TIGRFAM HMM score,TheSEED,PFAM Accession,PFAM,PFAM description,PFAM clan accession,PFAM clan,PFAM HMM score,interaction partners,PSORTb,DeepLocPro,LocateP,SignalP,transmembrane helices,protein GI,UniProt,protein RefSeq,protein copies per cell,operon,pubmed
NWMN_0469,NWMN_RS02685,SAUPAN002248000,divIC,CDS,divIC,,cell-division initiation protein,chromosome,+,534163,534555,393,unknown,5330251,YP_001331503,3706003,cell-division initiation protein,130,10.4495,15347.6,-0.941538,Cellular processes,Cellular processes,Cell division,cell division protein FtsL,TIGR02209,22,"Bacterial Cell Division / ""Cell division protein DivIC (FtsB), stabilizes FtsL against RasP cleavage""; ""Cell division-ribosomal stress proteins cluster"" / ""Cell division protein DivIC (FtsB), stabilizes FtsL against RasP cleavage""; ""RP Bacterial Cell Division"" / ""Cell division protein DivIC (FtsB), stabilizes FtsL against RasP cleavage""",PF04977,DivIC,Septum formation initiator,CL0225,FtsL,68.6,,Cellwall,Cytoplasmic Membrane,N-terminally anchored (No CS),no predicted signal peptide,1,151220681,A0A0H3K6E6,YP_001331503,,NWMN_0469 > NWMN_0470 (MicrobesOnline),
NWMN_0470,NWMN_RS02690,SAUPAN002249000,-,CDS,NWMN_0470,,hypothetical protein,chromosome,+,534660,535061,402,unknown,5331862,YP_001331504,3706004,hypothetical protein,133,10.3587,14811.7,-0.873684,Genetic information processing,Transcription,Degradation of RNA,polyribonucleotide nucleotidyltransferase,TIGR03591,75.4,"Cell division-ribosomal stress proteins cluster / ""RNA binding protein, contains ribosomal protein S1 domain""",PF00575,S1,S1 RNA binding domain,CL0021,OB,76.1,NWMN_0357; NWMN_0500; NWMN_0501; NWMN_0502; NWMN_0641; NWMN_1151; NWMN_1182; NWMN_1382; NWMN_1549; NWMN_1592; NWMN_1600; NWMN_1613; NWMN_2127; NWMN_2133; NWMN_2135; NWMN_2140; NWMN_2143; NWMN_2145; NWMN_2147; NWMN_2149; NWMN_2150; NWMN_2151; NWMN_2152; NWMN_2233,Cytoplasmic,Cytoplasmic,Intracellular,no predicted signal peptide,0,151220682,A0A0H3K746,YP_001331504,,NWMN_0469 > NWMN_0470 (MicrobesOnline),21166474
NWMN_0471,NWMN_RS02695,SAUPAN002250000,tilS,CDS,tilS,,hypothetical protein,chromosome,+,535241,536536,1296,unknown,5330252,YP_001331505,3706005,hypothetical protein,431,9.35158,51291.4,-0.588863,Genetic information processing,Protein synthesis,tRNA and rRNA base modification,tRNA(Ile)-lysidine synthetase,TIGR02432,197.1,"Miscellaneous / ""Miscellaneous - no subcategory"" / ""EC 6.3.4.- Ligases that form carbon-nitrogen bonds"" / ""tRNA(Ile)-lysidine synthetase (EC 6.3.4.19)""; ""RNA Metabolism"" / ""RNA processing and modification"" / ""tRNA processing"" / ""tRNA(Ile)-lysidine synthetase (EC 6.3.4.19)""",PF01171,ATP_bind_3,PP-loop family,CL0039,HUP,210.3,,Cytoplasmic,Cytoplasmic,Intracellular,no predicted signal peptide,0,151220683,A0A0H3KB27,YP_001331505,,NWMN_0471 > NWMN_0472 (MicrobesOnline),
NWMN_0472,NWMN_RS02700,SAUPAN002251000,hprT,CDS,hpt,,hypoxanthine phosphoribosyltransferase,chromosome,+,536565,537080,516,unknown,5332545,YP_001331506,3706006,hypoxanthine phosphoribosyltransferase,171,4.77462,19205,-0.227485,Metabolism,"Purines, pyrimidines, nucleosides, and nucleotides",Salvage of nucleosides and nucleotides,hypoxanthine phosphoribosyltransferase,TIGR01203,214.4,"Nucleosides and Nucleotides / ""Purines"" / ""Purine conversions"" / ""Hypoxanthine-guanine phosphoribosyltransferase (EC 2.4.2.8)""",PF00156,Pribosyltran,Phosphoribosyl transferase domain,CL0533,PRTase-like,104.8,NWMN_2119; NWMN_2135,Cytoplasmic,Cytoplasmic,Intracellular,no predicted signal peptide,0,151220684,A0A0H3K756,YP_001331506,,NWMN_0471 > NWMN_0472 (MicrobesOnline),21166474
NWMN_0473,NWMN_RS02705,SAUPAN002252000,ftsH,CDS,ftsH,,ATP-dependent metalloprotease FtsH,chromosome,+,537337,539430,2094,unknown,5332014,YP_001331507,3706007,ATP-dependent metalloprotease FtsH,697,5.17894,77783.9,-0.508178,Cellular processes; Genetic information processing,Cellular processes; Protein fate,"Cell division; Degradation of proteins, peptides, and glycopeptides",ATP-dependent metallopeptidase HflB,TIGR01241,791.5,"Bacterial Cell Division / ""Cell division protein FtsH (EC 3.4.24.-)""; ""Cell division-ribosomal stress proteins cluster"" / ""Cell division protein FtsH (EC 3.4.24.-)""; ""RP Bacterial Cell Division"" / ""Cell division protein FtsH (EC 3.4.24.-)""",PF01434,Peptidase_M41,Peptidase family M41,CL0126,Peptidase_MA,249.1,NWMN_0500; NWMN_0510; NWMN_0811; NWMN_0959; NWMN_0960; NWMN_0961; NWMN_0962; NWMN_1096; NWMN_1325; NWMN_1326; NWMN_1483; NWMN_1592; NWMN_1604; NWMN_2135; NWMN_2146,Cytoplasmic Membrane,Cytoplasmic Membrane,Multi-transmembrane,no predicted signal peptide,2,151220685,A0A0H3KEJ6,YP_001331507,,no polycistronic organisation predicted,21166474
NWMN_0474,NWMN_RS02710,SAUPAN002254000,hslO,CDS,hslO,,Hsp33-like chaperonin,chromosome,+,539659,540540,882,unknown,5331929,YP_001331508,3706008,Hsp33-like chaperonin,293,4.70599,31822,-0.196246,,,,,,,"Virulence, Disease and Defense / ""Adhesion"" / ""Streptococcus pyogenes recombinatorial zone"" / ""Chaperonin (heat shock protein 33)""",PF01430,HSP33,Hsp33 protein,no clan defined,no clan defined,342.4,,Cytoplasmic,Cytoplasmic,Intracellular,no predicted signal peptide,0,151220686,A6QEG4,YP_001331508,,no polycistronic organisation predicted,
NWMN_0475,NWMN_RS02715,SAUPAN002255000,cysK,CDS,NWMN_0475,,cysteine synthase-like protein,chromosome,+,540719,541651,933,unknown,5330253,YP_001331509,3706009,cysteine synthase-like protein,310,5.12885,32975.4,-0.237419,Metabolism,Amino acid biosynthesis,Serine family,cysteine synthase A,TIGR01139,463.6,"Amino Acids and Derivatives / ""Lysine, threonine, methionine, and cysteine"" / ""Cysteine Biosynthesis"" / ""Cysteine synthase (EC 2.5.1.47)""; ""Amino Acids and Derivatives"" / ""Lysine, threonine, methionine, and cysteine"" / ""Methionine Biosynthesis"" / ""Cysteine synthase (EC 2.5.1.47)""",PF00291,PALP,Pyridoxal-phosphate dependent enzyme,CL0063,NADP_Rossmann,270.5,NWMN_0500; NWMN_0501; NWMN_0509; NWMN_0510; NWMN_0741; NWMN_0745; NWMN_0959; NWMN_0960; NWMN_0962; NWMN_1528; NWMN_1592; NWMN_2040; NWMN_2086; NWMN_2504,Cytoplasmic,Cytoplasmic,Intracellular,no predicted signal peptide,0,151220687,A0A0H3K6E7,YP_001331509,,no polycistronic organisation predicted,21166474
NWMN_0476,NWMN_RS02720,SAUPAN002256000,folP,CDS,folP,,dihydropteroate synthase,chromosome,+,541867,542670,804,unknown,5330254,YP_001331510,3706010,dihydropteroate synthase,267,5.08615,29487.6,-0.181648,Metabolism,"Biosynthesis of cofactors, prosthetic groups, and carriers",Folic acid,dihydropteroate synthase,TIGR01496,314.4,"Cofactors, Vitamins, Prosthetic Groups, Pigments / ""Folate and pterines"" / ""Folate Biosynthesis"" / ""Dihydropteroate synthase (EC 2.5.1.15)""",PF00809,Pterin_bind,Pterin binding enzyme,CL0036,TIM_barrel,286.6,,Cytoplasmic,Cytoplasmic,Intracellular,no predicted signal peptide,0,151220688,A0A0H3K750,YP_001331510,,NWMN_0476 > NWMN_0477 > NWMN_0478 (MicrobesOnline),
NWMN_0477,NWMN_RS02725,SAUPAN002257000,folB,CDS,folB,,dihydroneopterin aldolase,chromosome,+,542648,543013,366,unknown,5331924,YP_001331511,3706011,dihydroneopterin aldolase,121,5.63716,13734.5,-0.367769,Metabolism,"Biosynthesis of cofactors, prosthetic groups, and carriers",Folic acid,dihydroneopterin aldolase,TIGR00525,126.6,"Cofactors, Vitamins, Prosthetic Groups, Pigments / ""Folate and pterines"" / ""Folate Biosynthesis"" / ""Dihydroneopterin aldolase (EC 4.1.2.25)""",PF02152,FolB,Dihydroneopterin aldolase,CL0334,THBO-biosyn,129.1,,Cytoplasmic,Cytoplasmic,Intracellular,no predicted signal peptide,0,151220689,A0A0H3KB32,YP_001331511,,NWMN_0476 > NWMN_0477 > NWMN_0478 (MicrobesOnline),
NWMN_0478,NWMN_RS02730,SAUPAN002258000,folK,CDS,folK,,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase,chromosome,+,543010,543486,477,unknown,5331920,YP_001331512,3706012,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase,158,4.84673,18028.8,-0.149367,Metabolism,"Biosynthesis of cofactors, prosthetic groups, and carriers",Folic acid,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,TIGR01498,150.3,"Cofactors, Vitamins, Prosthetic Groups, Pigments / ""Folate and pterines"" / ""Folate Biosynthesis"" / ""2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)""",PF01288,HPPK,"7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase (HPPK)",no clan defined,no clan defined,139.3,NWMN_0641,Cytoplasmic,Cytoplasmic,Intracellular,no predicted signal peptide,0,151220690,A0A0H3K760,YP_001331512,,NWMN_0476 > NWMN_0477 > NWMN_0478 (MicrobesOnline),21166474
NWMN_0479,NWMN_RS02740,SAUPAN002260000,lysS,CDS,lysS,,lysyl-tRNA synthetase,chromosome,+,543965,545512,1548,unknown,5331923,YP_001331513,3706013,lysyl-tRNA synthetase,515,4.95325,59014.5,-0.519612,Genetic information processing,Protein synthesis,tRNA aminoacylation,lysine--tRNA ligase,TIGR00499,734.8,"tRNA synthetase relationships / ""Lysyl-tRNA synthetase (class II) (EC 6.1.1.6)""",PF00152,tRNA-synt_2,"tRNA synthetases class II (D, K and N) ",CL0040,tRNA_synt_II,317.9,NWMN_0060; NWMN_0500; NWMN_0641; NWMN_0811; NWMN_0839; NWMN_0959; NWMN_1151; NWMN_1155; NWMN_1549; NWMN_1572; NWMN_1592; NWMN_1613; NWMN_2086; NWMN_2133; NWMN_2146; NWMN_2147; NWMN_2150,Cytoplasmic,Cytoplasmic,Intracellular,no predicted signal peptide,0,151220691,A0A0H3KEK1,YP_001331513,,no polycistronic organisation predicted,21166474
NWMN_rRNA04,NWMN_RS02745,SAUPAN002264000,rrf,rRNA,NWMN_rRNA04,,5S ribosomal RNA,chromosome,+,546070,546184,115,unknown,5332110,,3706014,5S ribosomal RNA,0,,,,,,,,,,,,,,,,,,,,,no predicted signal peptide,,,,,,NWMN_rRNA04 > NWMN_tRNA03 > NWMN_tRNA04 > NWMN_tRNA05 > NWMN_tRNA06 > NWMN_tRNA07 > NWMN_tRNA08 > NWMN_tRNA09 > NWMN_tRNA10 (MicrobesOnline),
NWMN_tRNA03,NWMN_RS02750,SAUPAN002265000,trnaV,tRNA,NWMN_tRNA03,,tRNA-Val,chromosome,+,546197,546269,73,unknown,5331633,,3706015,tRNA-Val,0,,,,,,,,,,,,,,,,,,,,,no predicted signal peptide,,,,,,NWMN_rRNA04 > NWMN_tRNA03 > NWMN_tRNA04 > NWMN_tRNA05 > NWMN_tRNA06 > NWMN_tRNA07 > NWMN_tRNA08 > NWMN_tRNA09 > NWMN_tRNA10 (MicrobesOnline),
NWMN_tRNA04,NWMN_RS02755,SAUPAN002267000,trnaT,tRNA,NWMN_tRNA04,,tRNA-Thr,chromosome,+,546289,546361,73,unknown,5331649,,3706016,tRNA-Thr,0,,,,,,,,,,,,,,,,,,,,,no predicted signal peptide,,,,,,NWMN_rRNA04 > NWMN_tRNA03 > NWMN_tRNA04 > NWMN_tRNA05 > NWMN_tRNA06 > NWMN_tRNA07 > NWMN_tRNA08 > NWMN_tRNA09 > NWMN_tRNA10 (MicrobesOnline),
NWMN_tRNA05,NWMN_RS02760,SAUPAN002268000,trnaK,tRNA,NWMN_tRNA05,,tRNA-Lys,chromosome,+,546371,546443,73,unknown,5331650,,3706017,tRNA-Lys,0,,,,,,,,,,,,,,,,,,,,,no predicted signal peptide,,,,,,NWMN_rRNA04 > NWMN_tRNA03 > NWMN_tRNA04 > NWMN_tRNA05 > NWMN_tRNA06 > NWMN_tRNA07 > NWMN_tRNA08 > NWMN_tRNA09 > NWMN_tRNA10 (MicrobesOnline),
NWMN_tRNA06,NWMN_RS02765,SAUPAN002269000,trnaG,tRNA,NWMN_tRNA06,,tRNA-Gly,chromosome,+,546477,546548,72,unknown,5331651,,3706018,tRNA-Gly,0,,,,,,,,,,,,,,,,,,,,,no predicted signal peptide,,,,,,NWMN_rRNA04 > NWMN_tRNA03 > NWMN_tRNA04 > NWMN_tRNA05 > NWMN_tRNA06 > NWMN_tRNA07 > NWMN_tRNA08 > NWMN_tRNA09 > NWMN_tRNA10 (MicrobesOnline),
NWMN_tRNA07,NWMN_RS02770,SAUPAN002270000,trnaL,tRNA,NWMN_tRNA07,,tRNA-Leu,chromosome,+,546559,546644,86,unknown,5331652,,3706019,tRNA-Leu,0,,,,,,,,,,,,,,,,,,,,,no predicted signal peptide,,,,,,NWMN_rRNA04 > NWMN_tRNA03 > NWMN_tRNA04 > NWMN_tRNA05 > NWMN_tRNA06 > NWMN_tRNA07 > NWMN_tRNA08 > NWMN_tRNA09 > NWMN_tRNA10 (MicrobesOnline),
NWMN_tRNA08,NWMN_RS02775,SAUPAN002271000,trnaR,tRNA,NWMN_tRNA08,,tRNA-Arg,chromosome,+,546653,546726,74,unknown,5331653,,3706020,tRNA-Arg,0,,,,,,,,,,,,,,,,,,,,,no predicted signal peptide,,,,,,NWMN_rRNA04 > NWMN_tRNA03 > NWMN_tRNA04 > NWMN_tRNA05 > NWMN_tRNA06 > NWMN_tRNA07 > NWMN_tRNA08 > NWMN_tRNA09 > NWMN_tRNA10 (MicrobesOnline),
NWMN_tRNA09,NWMN_RS02780,SAUPAN002272000,trnaP,tRNA,NWMN_tRNA09,,tRNA-Pro,chromosome,+,546750,546823,74,unknown,5331654,,3706021,tRNA-Pro,0,,,,,,,,,,,,,,,,,,,,,no predicted signal peptide,,,,,,NWMN_rRNA04 > NWMN_tRNA03 > NWMN_tRNA04 > NWMN_tRNA05 > NWMN_tRNA06 > NWMN_tRNA07 > NWMN_tRNA08 > NWMN_tRNA09 > NWMN_tRNA10 (MicrobesOnline),
NWMN_tRNA10,NWMN_RS02785,SAUPAN002266000,trnaA,tRNA,NWMN_tRNA10,,tRNA-Ala,chromosome,+,546847,546919,73,unknown,5331655,,3706022,tRNA-Ala,0,,,,,,,,,,,,,,,,,,,,,no predicted signal peptide,,,,,,NWMN_rRNA04 > NWMN_tRNA03 > NWMN_tRNA04 > NWMN_tRNA05 > NWMN_tRNA06 > NWMN_tRNA07 > NWMN_tRNA08 > NWMN_tRNA09 > NWMN_tRNA10 (MicrobesOnline),
NWMN_rRNA05,NWMN_RS02790,SAUPAN002273000,rrsB,rRNA,NWMN_rRNA05,,16S ribosomal RNA,chromosome,+,547044,548598,1555,unknown,5331656,,3706023,16S ribosomal RNA,0,,,,,,,,,,,,,,,,,,,,,no predicted signal peptide,,,,,,no polycistronic organisation predicted,
NWMN_tRNA11,NWMN_RS02795,SAUPAN002275000,trnaI,tRNA,NWMN_tRNA11,,tRNA-Ile,chromosome,+,548691,548764,74,unknown,5331634,,3706024,tRNA-Ile,0,,,,,,,,,,,,,,,,,,,,,no predicted signal peptide,,,,,,no polycistronic organisation predicted,
NWMN_rRNA06,NWMN_RS02800,SAUPAN002276000,rrlB,rRNA,NWMN_rRNA06,,23S ribosomal RNA,chromosome,+,548935,551788,2854,unknown,5331657,,3706025,23S ribosomal RNA,0,,,,,,,,,,,,,,,,,,,,,no predicted signal peptide,,,,,,no polycistronic organisation predicted,
NWMN_rRNA07,NWMN_RS02805,SAUPAN002262000,rrf,rRNA,NWMN_rRNA07,,5S ribosomal RNA,chromosome,+,551930,552044,115,unknown,5331635,,3706026,5S ribosomal RNA,0,,,,,,,,,,,,,,,,,,,,,no predicted signal peptide,,,,,,no polycistronic organisation predicted,
NWMN_0480,NWMN_RS02810,SAUPAN002282000,pdxR,CDS,NWMN_0480,,GntR family regulatory protein,chromosome,-,552569,553951,1383,unknown,5331636,YP_001331514,3706027,GntR family regulatory protein,460,8.55168,53954.4,-0.510217,,,,enduracididine biosynthesis enzyme MppQ,TIGR04461,87.9,"Cofactors, Vitamins, Prosthetic Groups, Pigments / ""Pyridoxine"" / ""Pyridoxin (Vitamin B6) Biosynthesis"" / ""Predicted transcriptional regulator of pyridoxine metabolism""",PF00155,Aminotran_1_2,Aminotransferase class I and II,CL0061,PLP_aminotran,50.9,,Cytoplasmic,Cytoplasmic,Intracellular,no predicted signal peptide,0,151220692,A0A0H3K6F2,YP_001331514,,no polycistronic organisation predicted,
NWMN_0481,NWMN_RS02815,SAUPAN002283000,pdxS,CDS,NWMN_0481,,pyridoxal biosynthesis lyase PdxS,chromosome,+,554055,554942,888,unknown,5330255,YP_001331515,3706028,pyridoxal biosynthesis lyase PdxS,295,4.83393,31992.6,-0.130847,Metabolism,"Biosynthesis of cofactors, prosthetic groups, and carriers",Pyridoxine,"pyridoxal 5'-phosphate synthase, synthase subunit Pdx1",TIGR00343,505.6,"Cofactors, Vitamins, Prosthetic Groups, Pigments / ""Pyridoxine"" / ""Pyridoxin (Vitamin B6) Biosynthesis"" / ""Pyridoxine biosynthesis glutamine amidotransferase, synthase subunit (EC 2.4.2.-)""",PF01680,SOR_SNZ,SOR/SNZ family,CL0036,TIM_barrel,356.9,NWMN_0162; NWMN_0500; NWMN_0501; NWMN_0502; NWMN_0509; NWMN_0510; NWMN_0745; NWMN_0839; NWMN_0959; NWMN_0960; NWMN_0961; NWMN_0962; NWMN_1151; NWMN_1325; NWMN_1326; NWMN_1382; NWMN_1483; NWMN_1549; NWMN_1572; NWMN_1587; NWMN_1592; NWMN_1604; NWMN_2024; NWMN_2086; NWMN_2126; NWMN_2127; NWMN_2133; NWMN_2140; NWMN_2146; NWMN_2147; NWMN_2149; NWMN_2150; NWMN_2504,Cytoplasmic,Cytoplasmic,Intracellular,no predicted signal peptide,0,151220693,A6QEH1,YP_001331515,,NWMN_0481 > NWMN_0482 (MicrobesOnline),21166474
NWMN_0482,NWMN_RS02820,SAUPAN002284000,pdxT,CDS,NWMN_0482,,glutamine amidotransferase subunit PdxT,chromosome,+,554946,555506,561,unknown,5330256,YP_001331516,3706029,glutamine amidotransferase subunit PdxT,186,5.94492,20629.7,-0.0225806,Metabolism,"Biosynthesis of cofactors, prosthetic groups, and carriers",Pyridoxine,"pyridoxal 5'-phosphate synthase, glutaminase subunit Pdx2",TIGR03800,269.3,"Cofactors, Vitamins, Prosthetic Groups, Pigments / ""Pyridoxine"" / ""Pyridoxin (Vitamin B6) Biosynthesis"" / ""Pyridoxine biosynthesis glutamine amidotransferase, glutaminase subunit (EC 2.4.2.-)""",PF01174,SNO,SNO glutamine amidotransferase family,CL0014,Glutaminase_I,233.1,,Cytoplasmic,Cytoplasmic,Intracellular,no predicted signal peptide,0,151220694,A6QEH2,YP_001331516,,NWMN_0481 > NWMN_0482 (MicrobesOnline),
NWMN_0483,NWMN_RS02825,SAUPAN002286000,nupC,CDS,nupC,,pyrimidine nucleoside transport protein,chromosome,-,555714,556928,1215,unknown,5330257,YP_001331517,3706030,pyrimidine nucleoside transport protein,404,9.44764,43804.7,0.870792,Metabolism,Transport and binding proteins,"Nucleosides, purines and pyrimidines","nucleoside transporter, NupC family",TIGR00804,433.4,"Carbohydrates / ""Monosaccharides"" / ""Deoxyribose and Deoxynucleoside Catabolism"" / ""Nucleoside permease NupC""; ""Nucleosides and Nucleotides"" / ""Purines"" / ""Xanthine Metabolism in Bacteria"" / ""Nucleoside permease NupC""",PF07662,Nucleos_tra2_C,Na+ dependent nucleoside transporter C-terminus,no clan defined,no clan defined,214.4,,Cytoplasmic Membrane,Cytoplasmic Membrane,Multi-transmembrane,no predicted signal peptide,10,151220695,A0A0H3K753,YP_001331517,,no polycistronic organisation predicted,
NWMN_0484,NWMN_RS02830,SAUPAN002287000,ctsR,CDS,ctsR,,transcriptional regulator CtsR,chromosome,+,557086,557547,462,unknown,5332212,YP_001331518,3706031,transcriptional regulator CtsR,153,6.26841,17841.4,-0.333333,,,,,,,,PF05848,CtsR,CtsR N-terminal HTH domain,CL0123,HTH,123.3,,Cytoplasmic,Cytoplasmic,Intracellular,no predicted signal peptide,0,151220696,A0A0H3KB35,YP_001331518,,NWMN_0484 > NWMN_0485 > NWMN_0486 > NWMN_0487 (MicrobesOnline),
NWMN_0485,NWMN_RS02835,SAUPAN002288000,mcsA,CDS,NWMN_0485,,UvrB/UvrC motif-containing protein,chromosome,+,557644,558132,489,unknown,5331844,YP_001331519,3706032,UvrB/UvrC motif-containing protein,162,6.42997,18710,-0.72037,Genetic information processing,DNA metabolism,"DNA replication, recombination, and repair",excinuclease ABC subunit B,TIGR00631,14.8,"Protein Metabolism / ""Protein degradation"" / ""Proteolysis in bacteria, ATP-dependent"" / ""Nucleotide excision repair protein, with UvrB/UvrC motif""",PF02151,UVR,UvrB/uvrC motif,CL0671,AAA_lid,23.2,,Cytoplasmic,Cytoplasmic,Intracellular,no predicted signal peptide,0,151220697,A0A0H3K763,YP_001331519,,NWMN_0484 > NWMN_0485 > NWMN_0486 > NWMN_0487 (MicrobesOnline),
NWMN_0486,NWMN_RS02840,SAUPAN002289000,mcsB,CDS,NWMN_0486,,ATP:guanido phosphotransferase,chromosome,+,558119,559129,1011,unknown,5330258,YP_001331520,3706033,ATP:guanido phosphotransferase,336,4.87485,38741,-0.410714,,,,,,,,PF00217,ATP-gua_Ptrans,"ATP:guanido phosphotransferase, C-terminal catalytic domain",CL0286,GCS,235.8,,Cytoplasmic,Cytoplasmic,Intracellular,no predicted signal peptide,0,151220698,A0A0H3KEK5,YP_001331520,,NWMN_0484 > NWMN_0485 > NWMN_0486 > NWMN_0487 (MicrobesOnline),22902728
NWMN_0487,NWMN_RS02845,SAUPAN002290000,clpC,CDS,clpC,,"ATP-dependent Clp protease, ATP-binding subunit ClpC",chromosome,+,559143,561599,2457,unknown,5330259,YP_001331521,3706034,"ATP-dependent Clp protease, ATP-binding subunit ClpC",818,5.4692,91036.7,-0.464548,Genetic information processing,Protein fate,Protein folding and stabilization,ATP-dependent chaperone protein ClpB,TIGR03346,1067.9,"Protein Metabolism / ""Protein degradation"" / ""Proteolysis in bacteria, ATP-dependent"" / ""ATP-dependent Clp protease, ATP-binding subunit ClpC""",PF07724,AAA_2,AAA domain (Cdc48 subfamily),CL0023,P-loop_NTPase,250.5,NWMN_0162; NWMN_0510; NWMN_0736; NWMN_0959; NWMN_0960; NWMN_0961; NWMN_0962; NWMN_1325; NWMN_1549; NWMN_1592; NWMN_2086; NWMN_2119; NWMN_2147; NWMN_2179,Cytoplasmic,Cytoplasmic,Intracellular,no predicted signal peptide,0,151220699,A0A0H3K6F4,YP_001331521,,NWMN_0484 > NWMN_0485 > NWMN_0486 > NWMN_0487 (MicrobesOnline),21166474
NWMN_0488,NWMN_RS02855,SAUPAN002292000,radA,CDS,radA,,DNA repair protein RadA,chromosome,+,562084,563448,1365,unknown,5331823,YP_001331522,3706035,DNA repair protein RadA,454,7.05095,49863.1,-0.169383,Genetic information processing,DNA metabolism,"DNA replication, recombination, and repair",DNA repair protein RadA,TIGR00416,665.7,"DNA Metabolism / ""DNA repair"" / ""DNA repair, bacterial"" / ""DNA repair protein RadA""",PF13481,AAA_25,AAA domain,CL0023,P-loop_NTPase,57.5,,Cytoplasmic,Cytoplasmic,Intracellular,no predicted signal peptide,0,151220700,A0A0H3K757,YP_001331522,,NWMN_0488 > NWMN_0489 (MicrobesOnline),
NWMN_0489,NWMN_RS02860,SAUPAN002293000,-,CDS,NWMN_0489,,hypothetical protein,chromosome,+,563473,564546,1074,unknown,5332331,YP_001331523,3706036,hypothetical protein,357,7.4154,39586.4,0.413165,,,,"RNA ligase partner, MJ_0950 family",TIGR03875,15.4,"Stress Response / ""Heat shock"" / ""Heat shock dnaK gene cluster extended"" / ""Membrane-associated protein containing RNA-binding TRAM domain and ribonuclease PIN-domain, YacL B.subtilis ortholog""",PF01850,PIN,PIN domain,CL0280,PIN,23,,Cytoplasmic Membrane,Cytoplasmic Membrane,Multi-transmembrane,no predicted signal peptide,4,151220701,A0A0H3KB41,YP_001331523,,NWMN_0488 > NWMN_0489 (MicrobesOnline),
NWMN_0490,NWMN_RS02865,SAUPAN002294000,gltX,CDS,gltX,,glutamyl-tRNA synthetase,chromosome,+,565103,566557,1455,unknown,5330260,YP_001331524,3706037,glutamyl-tRNA synthetase,484,4.97567,56304.4,-0.645041,Genetic information processing,Protein synthesis,tRNA aminoacylation,glutamate--tRNA ligase,TIGR00464,624.1,"Protein Metabolism / ""Protein biosynthesis"" / ""tRNA aminoacylation, Glu and Gln"" / ""Glutamyl-tRNA synthetase (EC 6.1.1.17)""; ""Protein Metabolism"" / ""Protein biosynthesis"" / ""tRNA aminoacylation, Glu and Gln"" / ""Glutamyl-tRNA(Gln) synthetase (EC 6.1.1.24)""; ""Protein Metabolism"" / ""Protein biosynthesis"" / ""tRNA aminoacylation, Glu and Gln"" / ""tRNA glutamyl-Q(34)-Gln synthetase (EC 6.1.1.24)""; ""Protein Metabolism"" / ""Protein biosynthesis"" / ""tRNA aminoacylation, Glu and Gln"" / ""tRNA glutamyl-Q(34)-Glu synthetase (EC 6.1.1.17)""",PF00749,tRNA-synt_1c,"tRNA synthetases class I (E and Q), catalytic domain",CL0039,HUP,412.1,,Cytoplasmic,Cytoplasmic,Intracellular,no predicted signal peptide,0,151220702,A6QEI0,YP_001331524,,no polycistronic organisation predicted,
NWMN_0491,NWMN_RS02870,SAUPAN002297000,cysE,CDS,cysE,,serine acetyltransferase,chromosome,+,566980,567627,648,unknown,5331965,YP_001331525,3706038,serine acetyltransferase,215,9.85567,23754.2,-0.156279,Metabolism,Amino acid biosynthesis,Serine family,serine O-acetyltransferase,TIGR01172,250.8,"Amino Acids and Derivatives / ""Lysine, threonine, methionine, and cysteine"" / ""Cysteine Biosynthesis"" / ""Serine acetyltransferase (EC 2.3.1.30)""; ""Amino Acids and Derivatives"" / ""Lysine, threonine, methionine, and cysteine"" / ""Methionine Biosynthesis"" / ""Serine acetyltransferase (EC 2.3.1.30)""; ""Miscellaneous"" / ""Plant-Prokaryote comparative genomics"" / ""Conserved gene cluster possibly involved in RNA metabolism"" / ""Serine acetyltransferase (EC 2.3.1.30)""",PF00132,Hexapep,Bacterial transferase hexapeptide (six repeats),CL0536,HEXAPEP,55.3,,Cytoplasmic,Cytoplasmic,Intracellular,no predicted signal peptide,0,151220703,A0A0H3K767,YP_001331525,,NWMN_0491 > NWMN_0492 > NWMN_0493 > NWMN_0494 > NWMN_0495 > NWMN_0496 (MicrobesOnline),
